fit,lwr,upr
8.479904559776772,8.384972540874557,8.574836578678987
8.332685636358809,8.268508755589915,8.396862517127703
8.185358081940619,8.100068470547857,8.27064769333338
8.2231347435196,8.14381721973564,8.30245226730356
8.372866984686073,8.287912211695245,8.457821757676902
8.339394329494791,8.257485091167974,8.421303567821608
8.176865355702477,8.099015190268021,8.254715521136932
8.400436114601984,8.300293432079979,8.500578797123989
8.4269925839323,8.330820273526857,8.523164894337743
8.553466263528044,8.435480223250105,8.671452303805983
8.34656622903191,8.26280248509264,8.430329972971178
8.394935432081105,8.305557944059188,8.484312920103022
8.224609508085747,8.14547290295926,8.303746113212235
8.13744006379818,8.068300875277592,8.20657925231877
8.295925345372774,8.201346992244783,8.390503698500765
8.292314244289178,8.210701078451395,8.373927410126962
8.160576001089874,8.037713770498495,8.283438231681252
8.408682865366108,8.309938073097436,8.50742765763478
8.120083219288919,8.049052842897373,8.191113595680465
8.241023346401402,8.178916404044172,8.303130288758632
8.261871761686953,8.186427544475858,8.337315978898047
8.148050724948538,8.067201198235173,8.228900251661903
8.408223844050664,8.312446172317362,8.504001515783965
8.27463805990656,8.1989920014719,8.350284118341218
8.191143484842927,8.111546334844794,8.27074063484106
8.150156222958243,8.06969114076786,8.230621305148626
8.283019789579306,8.191877248995077,8.374162330163536
8.365805869780239,8.298247952560626,8.433363786999852
8.229719498021847,8.157504473631533,8.30193452241216
8.36864258282661,8.270099625319382,8.467185540333837
8.188550028803482,8.111433207798555,8.265666849808408
8.419873270317497,8.331393171265574,8.50835336936942
8.266918447254435,8.1862366401662765,8.347600254342593
8.349800478545632,8.259026189833222,8.440574767258042
8.258642536535278,8.182460167283098,8.334824905787459
8.33250449154222,8.247980848666005,8.417028134418436
8.320592931584883,8.238457581846596,8.40272828132317
8.3046701452707,8.232251195038518,8.377089095502882
8.245329576411137,8.148072751737441,8.342586401084834
8.254053385897924,8.143610852939533,8.364495918856315
8.167779386243698,8.08956371092864,8.245995061558755
8.283367744338376,8.20260178471733,8.364133703959421
8.36254622152895,8.28902598684038,8.43606645621752
8.303918779099252,8.217976555763997,8.389861002434507
8.322867047750972,8.233815760042162,8.41191833545978
8.12502170903102,8.040657400714604,8.209386017347438
8.187390630959115,8.115759430906945,8.259021831011285
8.295126428947682,8.211449121214104,8.378803736681261
8.416215458256616,8.322707705471847,8.509723211041385
8.20691233329199,8.125335579052201,8.28848908753178
8.2018807434239,8.098994665690618,8.30476682115718
8.401480127321246,8.298791734922352,8.50416851972014
8.182425903203093,8.08292553367288,8.281926272733307
8.375995627180316,8.285654093695063,8.466337160665569
8.242782619414866,8.142181452768634,8.343383786061098
8.351723981155768,8.257569963844153,8.445877998467383
8.463054510077335,8.368995348255508,8.557113671899161
8.319391764852353,8.23615039876239,8.402633130942316
8.257127692940308,8.160886887327308,8.353368498553309
8.147137929920433,8.067492062974683,8.226783796866183
8.162231153469177,8.083063068555376,8.241399238382979
8.245153051855088,8.172141194132587,8.318164909577588
8.343387436171497,8.252937089180811,8.433837783162183
8.379718705073476,8.294408159935651,8.4650292502113
8.286396097406906,8.191653305784731,8.38113888902908
8.030127828356774,7.940406734149295,8.119848922564252
8.185049570408037,8.062528608437658,8.307570532378415
8.35223518429202,8.251834298115387,8.452636070468653
8.323305290589392,8.24582979265914,8.400780788519643
8.444009098157068,8.343378746261925,8.54463945005221
8.286338263881806,8.203926997451632,8.36874953031198
8.37470704309943,8.289748483744457,8.459665602454404
8.177996573835982,8.08838940636981,8.267603741302153
8.20301517770555,8.100311349334268,8.305719006076833
8.229908337303993,8.122319693683124,8.337496980924861
8.206156782034851,8.10662332221299,8.305690241856713
8.226764721286772,8.15089417084062,8.302635271732923
8.30523498553974,8.207774528917566,8.402695442161912
8.243149187713284,8.152265612174205,8.334032763252363
8.141130675830468,8.0593233393438,8.222938012317135
